Paper_Table_Row_Number	Quantum_Code_Parameters	Generator_Matrix_G	Vector_u	Scalar_a
100	[[27,10,10;15]]_2	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w w^2 w^2 0 1 w^2 0 1 w^2 w^2 | 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 w^2 w w 0 w w^2 0 w 1 w^2 w^2 | 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 w^2 w^2 w w w^2 w w^2 1 1 0 w | 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 w w 0 w w^2 0 w^2 w w 0 | 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 w 1 1 0 w^2 w w 1 w 0 | 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 w w^2 1 w w^2 w w^2 1 0 | 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 w 0 w^2 w^2 w 0 w^2 w w 1 0 | 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 w^2 w w 1 w^2 0 w w 1 1 0 | 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 w 0 w 1 w w^2 w 0 0 w w | 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 w^2 0 0 0 1 w 1 1 w w w | 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 w w^2 1 1 w w 1 1 1 | 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 w w 0 w w^2 w^2 w 0 w^2 w w | 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 w w 0 w^2 0 1 0 w 0 1 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 w^2 w 0 0 0 0 w 1 w w^2 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 w^2 0 w^2 1 w w w^2 1 w w^2 w^2	0 0 w 0 0 1 w^2 w^2 0 0 0 1 1 w w 0 0 0 0 w^2 w^2 1 w^2 1 w w	1
101	[[27,10,11;17]]_2	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 w^2 1 1 | 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 w 1 w w^2 1 1 0 w w^2 | 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 w^2 0 0 w^2 w w^2 w^2 1 w^2 w^2 0 | 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 w^2 0 w^2 0 1 w w w^2 w w 0 | 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 w w^2 1 0 w^2 w w^2 w | 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 w^2 w w^2 w 0 0 w^2 w^2 w^2 | 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 w 0 1 0 w 1 0 0 1 | 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 w^2 w 0 w^2 0 w 1 w 0 | 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 w^2 0 0 w w^2 1 1 0 1 0 w | 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 w^2 w w^2 w w^2 0 | 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 w 0 0 0 1 w w 1 w w 1 | 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 1 w 0 0 1 1 0 | 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 w w w^2 0 0 w w^2 w^2 w^2 | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 w^2 0 w^2 w^2 w^2 w w 0 1 1 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 w 1 1 w 0 1 0 w w | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 w^2 0 w w w 0 1 0	0 0 0 w w^2 1 w^2 w 1 1 w w 1 0 0 w 0 w^2 1 0 1 w^2 w w^2 w 0	1
102	[[27,11,9;12]]_2	1 0 0 0 0 0 0 0 0 0 0 0 0 w^2 1 1 w^2 0 w^2 w w 1 w 0 w^2 0 | 0 1 0 0 0 0 0 0 0 0 0 0 0 0 w^2 1 1 w^2 0 w^2 w w 1 w 0 w^2 | 0 0 1 0 0 0 0 0 0 0 0 0 0 w^2 0 w^2 1 1 w^2 0 w^2 w w 1 w 0 | 0 0 0 1 0 0 0 0 0 0 0 0 0 0 w^2 0 w^2 1 1 w^2 0 w^2 w w 1 w | 0 0 0 0 1 0 0 0 0 0 0 0 0 w 0 w^2 0 w^2 1 1 w^2 0 w^2 w w 1 | 0 0 0 0 0 1 0 0 0 0 0 0 0 1 w 0 w^2 0 w^2 1 1 w^2 0 w^2 w w | 0 0 0 0 0 0 1 0 0 0 0 0 0 w 1 w 0 w^2 0 w^2 1 1 w^2 0 w^2 w | 0 0 0 0 0 0 0 1 0 0 0 0 0 w w 1 w 0 w^2 0 w^2 1 1 w^2 0 w^2 | 0 0 0 0 0 0 0 0 1 0 0 0 0 w^2 w w 1 w 0 w^2 0 w^2 1 1 w^2 0 | 0 0 0 0 0 0 0 0 0 1 0 0 0 0 w^2 w w 1 w 0 w^2 0 w^2 1 1 w^2 | 0 0 0 0 0 0 0 0 0 0 1 0 0 w^2 0 w^2 w w 1 w 0 w^2 0 w^2 1 1 | 0 0 0 0 0 0 0 0 0 0 0 1 0 1 w^2 0 w^2 w w 1 w 0 w^2 0 w^2 1 | 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 w^2 0 w^2 w w 1 w 0 w^2 0 w^2	1 1 w^2 0 1 1 1 w^2 w^2 w^2 w 0 w w w^2 w 0 w^2 w w^2 w^2 1 w^2 w w w^2	1
103	[[27,11,10;16]]_2	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w 0 1 0 1 1 1 0 0 1 0 | 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 w^2 w 1 1 1 0 w^2 0 w w^2 w^2 | 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 w^2 w w^2 0 w w w w w^2 | 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 w^2 1 w w 1 1 1 0 1 w 1 | 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 w^2 w^2 1 w^2 1 w 1 w^2 1 0 1 | 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 w 1 w^2 w^2 0 w^2 1 w w 0 1 | 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 w^2 w 0 w w^2 w 1 w 1 1 w | 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 w^2 0 w 1 w^2 w^2 0 1 0 0 w | 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 w^2 w^2 w 1 w w 1 w 0 w^2 w^2 | 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 w w^2 1 0 w^2 1 w w 1 w 1 | 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 w w^2 1 w^2 0 | 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 w w^2 1 w^2 w w 1 w w 0 w | 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 w w 0 0 w 0 0 w^2 0 w^2 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 w w w 0 1 1 1 w w w w | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 w^2 w w^2 w 1 1 w w w^2 0	1 w 1 w 0 1 1 w^2 0 w^2 1 w^2 w^2 w w w 1 w^2 1 w^2 1 1 1 0 w w	1
104	[[27,12,9;13]]_2	1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 w w^2 0 0 0 1 0 w^2 w^2 1 w | 0 1 0 0 0 0 0 0 0 0 0 0 1 0 w^2 1 w^2 1 w w w^2 w^2 1 w 0 1 | 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 w^2 w 0 w^2 w w 1 w^2 w w^2 | 0 0 0 1 0 0 0 0 0 0 0 0 1 0 w 1 0 0 1 w^2 1 1 w 1 1 w^2 | 0 0 0 0 1 0 0 0 0 0 0 0 1 0 w w^2 1 w^2 w^2 w 1 w 1 w w^2 0 | 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 w^2 w^2 w^2 1 1 w w^2 1 | 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 w w 1 0 w w^2 w w^2 w^2 w 0 | 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 w 1 w 1 0 w^2 w^2 1 0 w 0 | 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 w^2 1 1 w 1 1 w^2 0 w 1 0 | 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 w^2 0 1 1 w 0 1 0 w^2 w^2 w^2 | 0 0 0 0 0 0 0 0 0 0 1 0 1 0 w 0 w^2 w^2 w w 0 w^2 1 0 1 w | 0 0 0 0 0 0 0 0 0 0 0 1 1 0 w^2 w 1 1 1 0 1 w w 0 w^2 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1	w^2 1 0 w^2 1 1 w^2 w 0 1 w^2 w^2 1 w^2 w^2 w 0 w^2 w 0 0 w w^2 w^2 w w^2	1
105	[[27,13,9;14]]_2	1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 w w^2 0 0 0 1 0 w^2 w^2 1 w | 0 1 0 0 0 0 0 0 0 0 0 0 1 0 w^2 1 w^2 1 w w w^2 w^2 1 w 0 1 | 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 w^2 w 0 w^2 w w 1 w^2 w w^2 | 0 0 0 1 0 0 0 0 0 0 0 0 1 0 w 1 0 0 1 w^2 1 1 w 1 1 w^2 | 0 0 0 0 1 0 0 0 0 0 0 0 1 0 w w^2 1 w^2 w^2 w 1 w 1 w w^2 0 | 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 w^2 w^2 w^2 1 1 w w^2 1 | 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 w w 1 0 w w^2 w w^2 w^2 w 0 | 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 w 1 w 1 0 w^2 w^2 1 0 w 0 | 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 w^2 1 1 w 1 1 w^2 0 w 1 0 | 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 w^2 0 1 1 w 0 1 0 w^2 w^2 w^2 | 0 0 0 0 0 0 0 0 0 0 1 0 1 0 w 0 w^2 w^2 w w 0 w^2 1 0 1 w | 0 0 0 0 0 0 0 0 0 0 0 1 1 0 w^2 w 1 1 1 0 1 w w 0 w^2 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1	w 0 1 w^2 0 1 w^2 w 1 1 1 0 w w 1 w w w w w^2 0 0 w w^2 1 0	1
106	[[27,15,7;12]]_2	1 0 0 0 0 0 0 0 0 0 0 w 0 0 1 0 0 w^2 1 w w 0 0 0 w 1 | 0 1 0 0 0 0 0 0 0 0 0 0 1 1 w w^2 1 1 1 0 0 w 1 0 w^2 1 | 0 0 1 0 0 0 0 0 0 0 0 w 0 1 0 w w^2 w 0 w^2 w 0 w 1 w w | 0 0 0 1 0 0 0 0 0 0 0 0 1 w w^2 w w^2 w 0 1 1 w 1 w w 1 | 0 0 0 0 1 0 0 0 0 0 0 w 1 1 0 0 0 w 0 0 0 1 0 1 1 w | 0 0 0 0 0 1 0 0 0 0 0 w 0 w 1 1 w^2 0 w 1 w^2 0 w 0 1 w | 0 0 0 0 0 0 1 0 0 0 0 0 w w w 1 1 w^2 0 w 1 w^2 0 w 0 1 | 0 0 0 0 0 0 0 1 0 0 0 w^2 0 1 0 w 1 0 1 w^2 1 1 w^2 0 1 w | 0 0 0 0 0 0 0 0 1 0 0 0 0 w w^2 w w^2 0 w 0 1 1 0 w^2 w^2 w | 0 0 0 0 0 0 0 0 0 1 0 0 w^2 w 0 1 w^2 w w w^2 w 1 0 0 0 0 | 0 0 0 0 0 0 0 0 0 0 1 1 w^2 0 w^2 w 0 0 w^2 w 0 w 0 0 w 0	w 0 1 w 0 w^2 0 0 0 w^2 1 0 0 1 w^2 w 0 1 w 0 w 0 0 w^2 w 1	1
107	[[27,17,6;10]]_2	1 0 0 0 0 0 0 0 0 0 1 0 0 w^2 w^2 0 w 0 1 1 0 w w w w 0 | 0 1 0 0 0 0 0 0 0 0 0 1 0 0 w^2 w^2 0 w 0 1 1 0 w w w w | 0 0 1 0 0 0 0 0 w^2 0 w w^2 w^2 0 w^2 0 0 1 0 w^2 0 w^2 0 w w^2 w | 0 0 0 1 0 0 0 0 w^2 0 1 1 w 0 1 1 w w w^2 0 w^2 w w^2 0 w 1 | 0 0 0 0 1 0 0 0 1 0 1 0 1 1 0 1 w^2 w^2 0 0 w^2 w 0 1 1 0 | 0 0 0 0 0 1 0 0 w^2 0 w^2 w w^2 w 1 1 0 w^2 1 w w^2 1 w 0 w w | 0 0 0 0 0 0 1 0 0 0 w^2 w^2 1 w 0 0 0 w^2 w^2 w w^2 w^2 1 w 1 0 | 0 0 0 0 0 0 0 1 0 0 1 w^2 w^2 w^2 1 0 w 0 w w w 1 1 w^2 0 1 | 0 0 0 0 0 0 0 0 0 1 0 0 1 w^2 0 w 0 1 1 0 w w w w 0 w^2	w^2 1 w^2 0 0 w 1 0 0 1 0 1 w^2 w^2 w 1 w^2 0 w^2 w^2 w 1 w 0 w 0	1
108	[[27,18,5;7]]_2	1 0 0 0 0 0 0 1 1 1 w w^2 w w w w w w 0 w 0 w w^2 1 0 w | 0 1 0 0 0 0 0 w 0 0 0 w^2 w^2 w 1 0 1 w^2 0 0 1 0 w^2 w^2 0 w | 0 0 1 0 0 0 0 w^2 w 0 w^2 w 1 0 w^2 1 1 w 1 w w^2 w^2 w w w 0 | 0 0 0 1 0 0 0 1 w w^2 w 0 0 w w 1 w^2 w^2 w w^2 w 1 0 w^2 w 0 | 0 0 0 0 1 0 0 0 0 w^2 0 w 1 1 w 0 1 0 0 w^2 w w^2 1 w^2 1 0 | 0 0 0 0 0 1 0 1 w^2 w^2 0 w^2 w 0 w^2 w^2 w w 1 0 1 w 0 1 0 0 | 0 0 0 0 0 0 1 w w 0 w^2 1 1 w w^2 w 0 w 1 w^2 1 w^2 w^2 1 w^2 1	w^2 w^2 w^2 0 0 1 1 w^2 1 0 0 w^2 0 w^2 1 w^2 1 w^2 w^2 w^2 0 w^2 w^2 w w^2 w	1
109	[[27,19,5;8]]_2	1 0 0 0 0 0 0 1 1 1 w w^2 w w w w w w 0 w 0 w w^2 1 0 w | 0 1 0 0 0 0 0 w 0 0 0 w^2 w^2 w 1 0 1 w^2 0 0 1 0 w^2 w^2 0 w | 0 0 1 0 0 0 0 w^2 w 0 w^2 w 1 0 w^2 1 1 w 1 w w^2 w^2 w w w 0 | 0 0 0 1 0 0 0 1 w w^2 w 0 0 w w 1 w^2 w^2 w w^2 w 1 0 w^2 w 0 | 0 0 0 0 1 0 0 0 0 w^2 0 w 1 1 w 0 1 0 0 w^2 w w^2 1 w^2 1 0 | 0 0 0 0 0 1 0 1 w^2 w^2 0 w^2 w 0 w^2 w^2 w w 1 0 1 w 0 1 0 0 | 0 0 0 0 0 0 1 w w 0 w^2 1 1 w w^2 w 0 w 1 w^2 1 w^2 w^2 1 w^2 1	0 1 1 w^2 1 w w^2 w^2 1 1 1 w w w^2 w w^2 1 w^2 w 1 0 w^2 w^2 0 w^2 w^2	1
110	[[28,2,22;26]]_2	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w 0 | 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w^2 | 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w w | 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w^2 w | 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w w^2 | 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w^2 w | 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w w^2 | 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 | 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w w | 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w^2 | 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w w | 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 | 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 w^2 w | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 w^2 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 w w^2 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 w 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 w 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 w 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 w^2 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 w w^2 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 w w | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 w 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 w^2 w	1 0 1 w^2 1 w^2 1 w 1 0 1 w w^2 w^2 1 1 0 1 0 1 w^2 1 1 1 w^2 w 0	1
111	[[28,6,15;22]]_2	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 w^2 w 1 w^2 w | 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w w^2 1 w^2 w 1 | 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w 1 1 w^2 w^2 w^2 | 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w^2 w^2 1 1 0 | 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 w 1 1 w^2 | 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 w w 1 w^2 1 | 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w w w 0 w 0 | 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w^2 w^2 1 1 | 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 w | 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 w^2 0 w w^2 w | 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 w^2 1 w 1 | 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 w w^2 0 0 1 0 | 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 w^2 w^2 0 w^2 1 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 w w w w 1 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 w^2 0 w^2 1 w w^2 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 w^2 1 1 0 0 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 w^2 1 w 0 0 w^2 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 w 0 w w^2 w w^2 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 w^2 w w 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 w^2 w^2 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 w 0 w^2 w	1 w^2 w w 0 1 w 0 w^2 1 1 w 0 w^2 w^2 w^2 w 1 w 0 1 w^2 w 1 0 w^2 1	1
112	[[28,7,14;21]]_2	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w^2 0 w^2 1 w^2 w w^2 w | 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 w^2 w | 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 w 1 w^2 | 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 w 0 w w^2 w^2 0 | 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w 0 0 w^2 w w^2 1 0 | 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w w^2 0 w 1 | 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 w^2 w w w | 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 w^2 0 1 w 0 0 | 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 w^2 w 0 0 w^2 | 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 w^2 0 w 0 w^2 1 1 w | 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 w w 0 1 | 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 w w 1 w w w^2 | 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 w 0 w^2 1 w^2 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 w 0 w w 1 0 1 w | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 w^2 w 1 w 0 w^2 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 w^2 1 1 1 w^2 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 w^2 0 w w^2 1 w^2 w^2 w^2 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 w 0 0 w w^2 0 0 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 w^2 0 w^2 0 w 1 w^2 w | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 w^2 w 0 w^2 1 0	0 w^2 0 w^2 w w^2 w 1 w^2 0 0 1 w^2 w^2 1 0 1 w^2 w 1 0 w 0 w^2 w^2 w 0	1
113	[[28,8,13;20]]_2	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w^2 0 w 0 w w w^2 0 | 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w w^2 w^2 w w^2 0 1 | 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w^2 1 0 w w 0 w w | 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w w^2 0 w^2 1 1 w^2 1 | 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w 1 w^2 w^2 w w w 1 | 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w^2 w^2 w 0 | 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 w^2 1 1 w^2 w^2 1 | 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 w 1 0 w^2 0 0 1 | 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 w^2 0 w^2 w^2 0 0 w^2 | 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 w^2 w w w w^2 w 1 w^2 | 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 w 0 w^2 w 1 w w^2 0 | 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 w^2 w^2 1 w 1 0 w | 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 w 0 w^2 0 0 w^2 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 w w w 1 1 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 w 1 w w 1 0 0 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 w^2 w^2 w^2 w^2 0 1 1 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 w 0 1 1 w w^2 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 w^2 1 1 w^2 0 1 1 w^2 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 w 1 0 w^2 w^2 w 1 0	w 0 0 0 w^2 w 1 w^2 1 0 w w w^2 0 w 0 0 w^2 w^2 w 0 0 w^2 0 0 w^2 1	1
