Paper_Table_Row_Number	Quantum_Code_Parameters	Generator_Matrix_G	Vector_u	Scalar_a
14	[[15,3,10;12]]_2	1 0 0 0 0 0 0 0 0 0 0 1 0 1 | 0 1 0 0 0 0 0 0 0 0 0 0 w^2 w | 0 0 1 0 0 0 0 0 0 0 0 w^2 1 w | 0 0 0 1 0 0 0 0 0 0 0 0 1 0 | 0 0 0 0 1 0 0 0 0 0 0 1 w w | 0 0 0 0 0 1 0 0 0 0 0 w w^2 0 | 0 0 0 0 0 0 1 0 0 0 0 w w 0 | 0 0 0 0 0 0 0 1 0 0 0 w^2 0 1 | 0 0 0 0 0 0 0 0 1 0 0 0 1 w | 0 0 0 0 0 0 0 0 0 1 0 w^2 1 w | 0 0 0 0 0 0 0 0 0 0 1 w w 1	1 w 0 w^2 1 1 w 1 0 0 w^2 0 w^2 1	1
15	[[15,7,6;8]]_2	1 0 0 0 0 0 0 w^2 w^2 w 1 0 w^2 0 | 0 1 0 0 0 0 0 0 w^2 w^2 w 1 0 w^2 | 0 0 1 0 0 0 0 w^2 0 w^2 w^2 w 1 0 | 0 0 0 1 0 0 0 0 w^2 0 w^2 w^2 w 1 | 0 0 0 0 1 0 0 1 0 w^2 0 w^2 w^2 w | 0 0 0 0 0 1 0 w 1 0 w^2 0 w^2 w^2 | 0 0 0 0 0 0 1 w^2 w 1 0 w^2 0 w^2	1 0 w^2 w 0 w w 1 1 w 1 1 w^2 w	1
16	[[15,12,3;3]]_2	1 0 1 w^2 1 0 w w w w^2 0 w 1 w^2 | 0 1 w w^2 0 1 1 w 1 w w w^2 1 1	0 w w^2 w^2 w^2 0 0 w^2 w^2 w 1 w w^2 1	1
17	[[16,11,4;5]]_2	1 0 0 0 0 w^2 0 1 w^2 0 1 0 w w 1 | 0 1 0 0 w w^2 1 1 w 0 0 w^2 w 1 0 | 0 0 1 0 w 1 0 1 w w w^2 w^2 0 0 1 | 0 0 0 1 1 1 w^2 w w^2 w w w^2 1 0 0	0 w^2 w^2 1 1 w^2 1 w w 0 0 1 1 w w	1
18	[[17,2,13;15]]_2	1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 w^2 | 0 1 0 0 0 0 0 0 0 0 0 0 0 0 w^2 0 | 0 0 1 0 0 0 0 0 0 0 0 0 0 0 w^2 w^2 | 0 0 0 1 0 0 0 0 0 0 0 0 0 0 w 1 | 0 0 0 0 1 0 0 0 0 0 0 0 0 0 w^2 1 | 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 w^2 | 0 0 0 0 0 0 1 0 0 0 0 0 0 0 w^2 0 | 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 | 0 0 0 0 0 0 0 0 1 0 0 0 0 0 w w | 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 | 0 0 0 0 0 0 0 0 0 0 1 0 0 0 w^2 w^2 | 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 w^2 | 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 w | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 w^2 w	1 1 w^2 w^2 0 w 1 1 1 w^2 w^2 1 0 w w^2 1	1
19	[[17,4,7;5]]_2	1 0 0 0 0 0 0 0 w 0 w^2 1 1 w^2 w w | 0 1 0 0 0 0 0 0 w w 0 w^2 1 1 w^2 w | 0 0 1 0 0 0 0 0 w w w 0 w^2 1 1 w^2 | 0 0 0 1 0 0 0 0 w^2 w w w 0 w^2 1 1 | 0 0 0 0 1 0 0 0 1 w^2 w w w 0 w^2 1 | 0 0 0 0 0 1 0 0 1 1 w^2 w w w 0 w^2 | 0 0 0 0 0 0 1 0 w^2 1 1 w^2 w w w 0 | 0 0 0 0 0 0 0 1 0 w^2 1 1 w^2 w w w	1 w w 0 w w^2 w 1 w w^2 w 1 1 w 0 0	1
20	[[17,4,10;13]]_2	1 0 0 0 0 0 0 0 0 0 0 0 w^2 w^2 1 1 | 0 1 0 0 0 0 0 0 0 0 0 0 1 w 1 0 | 0 0 1 0 0 0 0 0 0 0 0 0 w^2 w^2 w 1 | 0 0 0 1 0 0 0 0 0 0 0 0 w w^2 w^2 0 | 0 0 0 0 1 0 0 0 0 0 0 0 0 w^2 w^2 w^2 | 0 0 0 0 0 1 0 0 0 0 0 0 1 w^2 w^2 w^2 | 0 0 0 0 0 0 1 0 0 0 0 0 0 0 w^2 w^2 | 0 0 0 0 0 0 0 1 0 0 0 0 w w 0 w | 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 w | 0 0 0 0 0 0 0 0 0 1 0 0 w w^2 w^2 1 | 0 0 0 0 0 0 0 0 0 0 1 0 1 w^2 1 1 | 0 0 0 0 0 0 0 0 0 0 0 1 0 1 w w^2	1 0 w w w 1 1 0 w w^2 w^2 1 w^2 w w 1	1
21	[[17,5,7;6]]_2	1 0 0 0 0 0 0 0 w 0 w^2 1 1 w^2 w w | 0 1 0 0 0 0 0 0 w w 0 w^2 1 1 w^2 w | 0 0 1 0 0 0 0 0 w w w 0 w^2 1 1 w^2 | 0 0 0 1 0 0 0 0 w^2 w w w 0 w^2 1 1 | 0 0 0 0 1 0 0 0 1 w^2 w w w 0 w^2 1 | 0 0 0 0 0 1 0 0 1 1 w^2 w w w 0 w^2 | 0 0 0 0 0 0 1 0 w^2 1 1 w^2 w w w 0 | 0 0 0 0 0 0 0 1 0 w^2 1 1 w^2 w w w	1 w w 1 w w^2 w w^2 1 1 w^2 w^2 1 w w 1	1
22	[[17,6,7;7]]_2	1 0 0 0 0 0 0 0 w 0 w^2 1 1 w^2 w w | 0 1 0 0 0 0 0 0 w w 0 w^2 1 1 w^2 w | 0 0 1 0 0 0 0 0 w w w 0 w^2 1 1 w^2 | 0 0 0 1 0 0 0 0 w^2 w w w 0 w^2 1 1 | 0 0 0 0 1 0 0 0 1 w^2 w w w 0 w^2 1 | 0 0 0 0 0 1 0 0 1 1 w^2 w w w 0 w^2 | 0 0 0 0 0 0 1 0 w^2 1 1 w^2 w w w 0 | 0 0 0 0 0 0 0 1 0 w^2 1 1 w^2 w w w	w w 0 0 w 0 w 0 0 1 w 0 0 0 w w^2	1
23	[[17,12,3;1]]_2	1 0 w^2 w^2 w^2 w^2 0 w w^2 w 0 w w 1 0 1 | 0 1 1 w w w w^2 w^2 0 0 w w^2 1 0 1 w	w^2 1 w 1 0 w^2 1 w w^2 w^2 0 w^2 1 0 w^2 0	1
24	[[17,14,3;3]]_2	1 0 w 1 w w w^2 1 w^2 w^2 w^2 0 0 1 w w | 0 1 1 w 1 w^2 w w w^2 w^2 w^2 w w^2 w^2 w^2 0	w w 1 w 0 1 1 1 1 0 w 0 w 1 0 1	1
